id	status	priority	category	project	project_id	trigger_source	dedupe_key	created_at	updated_at	title	action
1bfc53aa-031c-4786-b688-be2d872895e3	open	medium	dev	missiond	""	""	lisp-code-drift:ad9dd6fd8862d720	2026-05-03T09:33:08.466401+00:00	2026-05-03T09:40:18.861828+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
65ef7afe-4572-40b2-a3c8-4dd6811e65aa	open	medium	dev	missiond	""	""	lisp-code-drift:3f80c1731991c48b	2026-05-03T11:26:14.933944+00:00	2026-05-03T11:26:14.933944+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
d2089306-0afc-4b9f-af9c-e06cf3906f7e	open	medium	dev	missiond	""	""	lisp-code-drift:ed55fcda2f3a7d5a	2026-05-03T11:29:47.697684+00:00	2026-05-03T11:29:47.697684+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
319a0137-9a11-46f0-83f5-e1939f157790	open	medium	dev	missiond	""	""	lisp-code-drift:51725e86d27f466f	2026-05-03T13:41:23.850501+00:00	2026-05-03T13:41:23.850501+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
30116f49-2709-4edd-9e7b-9ccc36709ff6	open	medium	dev	missiond	""	""	lisp-code-drift:554be1e21fec362c	2026-05-04T18:58:36.493185+00:00	2026-05-04T18:58:36.493185+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
a43ecc59-431c-4ab5-bf7e-bba332f63fe4	open	medium	dev	missiond	""	""	lisp-code-drift:c6f10e336bc75c6c	2026-05-04T19:14:53.123656+00:00	2026-05-04T19:14:53.123656+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
e8d553ae-b267-44e5-a2b9-e7f15406b26a	open	medium	dev	missiond	""	""	lisp-code-drift:e22fd25f5a347062	2026-05-04T23:23:21.580909+00:00	2026-05-04T23:23:21.580909+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
970aae95-2d7f-4a65-8ff6-ee200d153245	open	medium	dev	missiond	""	""	lisp-code-drift:928001893f268932	2026-05-05T10:30:24.961659+00:00	2026-05-05T10:30:24.961659+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
80e838f1-d740-4fc1-88fd-843dbf65a198	open	medium	dev	missiond	""	""	lisp-code-drift:2a68e68a9b1e92bc	2026-05-05T17:05:42.357767+00:00	2026-05-05T17:05:42.357767+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
b5b65989-6949-4a88-83bc-c52e451cfbed	open	medium	dev	missiond	""	""	commit-lisp-backfill:missiond:4ab7994	2026-05-05T23:39:14.623395+00:00	2026-05-05T23:39:14.623395+00:00	Backfill Lisp/checker for commit 4ab7994	close: current drift gate clean
dee0bae1-2ef6-445d-ac67-b21d838920d8	open	medium	dev	missiond	""	""	commit-lisp-backfill:missiond:c55fd61	2026-05-05T23:39:14.680715+00:00	2026-05-05T23:39:14.680715+00:00	Backfill Lisp/checker for commit c55fd61	close: current drift gate clean
10adff2d-e974-448e-8c9b-5f2f39bf09a9	open	medium	dev	missiond	""	""	lisp-code-drift:ffd6638cbad0093c	2026-05-06T04:21:13.432823+00:00	2026-05-06T04:21:13.432823+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
05a19992-dadc-479c-aee6-f8b8d969d03e	open	medium	dev	missiond	""	""	lisp-code-drift:d58c08868aa56235	2026-05-06T05:23:38.231360+00:00	2026-05-06T05:23:38.231360+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
89ccbcbf-5e72-4c35-9f37-6950e0d6300f	open	medium	dev	missiond	""	""	lisp-code-drift:d7e213ce74c65a07	2026-05-08T05:44:13.537036+00:00	2026-05-08T05:44:13.537036+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
8b968ba8-7b41-40f6-9d1a-57ec5f54503b	open	medium	dev	missiond	""	""	lisp-code-drift:cafb5f25b06f63e8	2026-05-08T05:44:33.557490+00:00	2026-05-08T05:44:33.557490+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
caadc52e-ee43-48bf-8623-987f58895266	open	medium	dev	missiond	""	""	lisp-code-drift:8844be836641a3e1	2026-05-08T05:47:33.706654+00:00	2026-05-08T05:47:33.706654+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
e536c034-e522-4efb-b23c-c0c085295bb8	open	medium	dev	missiond	""	""	lisp-code-drift:a0f9047f653ea019	2026-05-08T05:51:35.213328+00:00	2026-05-08T05:51:35.213328+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
55bafb99-2ca6-4ca8-a9d2-263b671b27fc	open	medium	dev	missiond	""	""	lisp-code-drift:acedc897f56dc916	2026-05-08T05:52:25.925633+00:00	2026-05-08T05:52:25.925633+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
04136cad-f9ae-427b-b1f3-c19ce14a298b	open	medium	dev	missiond	""	""	lisp-code-drift:ab8d3d08d9e474f6	2026-05-08T16:19:04.157913+00:00	2026-05-08T16:19:04.157913+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
fd4ed250-dda3-4628-8dd0-00d86cac24ae	open	medium	dev	missiond	""	""	lisp-code-drift:f4d0b1ccafde05a0	2026-05-08T16:19:46.042445+00:00	2026-05-08T16:19:46.042445+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
1c9560cb-63c2-4770-a86e-d5918b07e34c	open	medium	dev	missiond	""	""	lisp-code-drift:9e2e140e7dd75bb7	2026-05-09T09:23:10.853312+00:00	2026-05-09T09:23:10.853312+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
3f7bd32f-4f1f-49a4-a868-a6ff1ad06304	open	medium	dev	missiond	""	""	lisp-code-drift:02fb85981e432eef	2026-05-09T10:00:28.579745+00:00	2026-05-09T10:00:28.579745+00:00	Backfill Lisp/checker for code-first change	close: current drift gate clean
4e0f4400-880a-4768-bcd1-72605ba1ecf5	open	high	dev	""	""	""	strategy-drift-全局偏好preferences和热门话题hot-topics的上下文注入载体发生转移从-mcp-server-initialize	2026-03-16T11:43:04.454961+00:00	2026-03-16T11:43:04.454961+00:00	架构漂移: 全局偏好（Preferences）和热门话题（Hot Topics）的上下文注入载体发生转移：从 MCP Server ...	close: old drift/automation reports
